"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"1","0.000","35.155.218.27","","TCP","","","","","",""
"2","0.000","10.4.167.19","","TCP","","","","","",""
"3","0.052","10.4.167.19","","TCP","","","","","",""
"4","0.052","10.4.167.19","","TCP","","","","","",""
"5","0.057","10.1.120.133","","TCP","","","","","",""
"6","0.057","10.1.91.142","","TCP","","","","","",""
"7","0.100","10.4.167.19","","TCP","","","","","",""
"8","0.100","10.4.167.19","","TCP","","","","","",""
"9","0.490","10.4.167.19","","UDP","","","","","",""
"10","0.719","10.4.167.19","","TCP","","","","","",""
"11","0.726","10.1.93.70","","TCP","","","","","",""
"12","0.767","10.4.167.19","","TCP","","","","","",""
"13","1.777","10.4.167.19","","TCP","","","","","",""
"14","1.795","10.1.90.155","","TCP","","","","","",""
"15","1.841","10.4.167.19","","TCP","","","","","",""
"16","2.256","10.4.167.19","","TCP","","","","","",""
"17","2.271","10.1.122.227","","TCP","","","","","",""
"18","2.319","10.4.167.19","","TCP","","","","","",""
"19","3.315","162.125.6.20","","TLSv1.2","","","","","",""
"20","3.315","10.4.167.19","","TLSv1.2","","","","","",""
"21","3.316","10.4.167.19","","TLSv1.2","","","","","",""
"22","3.340","162.125.6.20","","TCP","","","","","",""
"23","3.340","162.125.6.20","","TLSv1.2","","","","","",""
"24","3.340","162.125.6.20","","TCP","","","","","",""
"25","3.340","10.4.167.19","","TCP","","","","","",""
"26","3.518","10.4.167.19","","UDP","","","","","",""
"27","3.651","162.159.134.234","","TLSv1.2","","","","","",""
"28","3.704","10.4.167.19","","TCP","","","","","",""
"29","3.824","162.159.134.234","","TLSv1.2","","","","","",""
"30","3.879","10.4.167.19","","TCP","","","","","",""
"31","4.094","35.155.218.27","","TCP","","","","","",""
"32","4.094","10.4.167.19","","TCP","","","","","",""
"33","4.291","10.4.167.19","","MDNS","","","","","",""
"34","4.291","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"35","4.292","10.4.167.19","","MDNS","","","","","",""
"36","4.292","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"37","5.002","162.159.134.234","","TLSv1.2","","","","","",""
"38","5.053","10.4.167.19","","TCP","","","","","",""
"39","5.069","10.4.167.19","","TCP","","","","","",""
"40","5.069","10.4.167.19","","TCP","","","","","",""
"41","5.073","10.1.120.133","","TCP","","","","","",""
"42","5.075","10.1.91.142","","TCP","","","","","",""
"43","5.117","10.4.167.19","","TCP","","","","","",""
"44","5.117","10.4.167.19","","TCP","","","","","",""
"45","5.290","10.4.167.19","","TCP","","","","","",""
"46","5.291","10.4.167.19","","MDNS","","","","","",""
"47","5.291","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"48","5.291","10.4.167.19","","MDNS","","","","","",""
"49","5.291","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"50","5.299","34.120.195.249","","TCP","","","","","",""
"51","5.607","98.126.5.106","","TCP","","","","","",""
"52","5.607","10.4.167.19","","TCP","","","","","",""
"53","5.607","10.4.167.19","","TCP","","","","","",""
"54","5.607","10.4.167.19","","TCP","","","","","",""
"55","5.619","23.219.217.57","","TLSv1.2","","","","","",""
"56","5.619","23.219.217.57","","TCP","","","","","",""
"57","5.619","10.4.167.19","","TCP","","","","","",""
"58","5.668","98.126.5.106","","TCP","","","","","",""
"59","5.702","162.159.134.234","","TLSv1.2","","","","","",""
"60","5.712","162.159.134.234","","TLSv1.2","","","","","",""
"61","5.712","10.4.167.19","","TCP","","","","","",""
"62","5.736","10.4.167.19","","TCP","","","","","",""
"63","5.741","10.1.93.70","","TCP","","","","","",""
"64","5.743","162.159.134.234","","TLSv1.2","","","","","",""
"65","5.774","162.159.134.234","","TLSv1.2","","","","","",""
"66","5.775","10.4.167.19","","TCP","","","","","",""
"67","5.781","162.159.134.234","","TLSv1.2","","","","","",""
"68","5.783","10.4.167.19","","TCP","","","","","",""
"69","5.784","162.159.134.234","","TLSv1.2","","","","","",""
"70","5.784","10.4.167.19","","TCP","","","","","",""
"71","5.792","162.159.134.234","","TLSv1.2","","","","","",""
"72","5.792","162.159.134.234","","TLSv1.2","","","","","",""
"73","5.792","10.4.167.19","","TCP","","","","","",""
"74","5.796","162.159.134.234","","TLSv1.2","","","","","",""
"75","5.801","162.159.134.234","","TLSv1.2","","","","","",""
"76","5.801","10.4.167.19","","TCP","","","","","",""
"77","5.815","162.159.134.234","","TLSv1.2","","","","","",""
"78","5.825","162.159.134.234","","TLSv1.2","","","","","",""
"79","5.825","10.4.167.19","","TCP","","","","","",""
"80","5.880","162.159.134.234","","TLSv1.2","","","","","",""
"81","5.893","162.159.134.234","","TLSv1.2","","","","","",""
"82","5.893","10.4.167.19","","TCP","","","","","",""
"83","5.938","98.126.5.106","","TCP","","","","","",""
"84","5.938","10.4.167.19","","TLSv1.2","","","","","",""
"85","5.938","10.4.167.19","","TLSv1.2","","","","","",""
"86","5.951","104.18.8.190","","TCP","","","","","",""
"87","5.951","104.18.8.190","","TLSv1.2","","","","","",""
"88","5.951","10.4.167.19","","TCP","","","","","",""
"89","5.963","104.18.8.190","","TCP","","","","","",""
"90","5.963","104.18.8.190","","TCP","","","","","",""
"91","5.963","104.18.8.190","","TCP","","","","","",""
"92","5.963","104.18.8.190","","TCP","","","","","",""
"93","5.963","104.18.8.190","","TCP","","","","","",""
"94","5.963","104.18.8.190","","TCP","","","","","",""
"95","5.963","104.18.8.190","","TCP","","","","","",""
"96","5.963","104.18.8.190","","TCP","","","","","",""
"97","5.963","104.18.8.190","","TCP","","","","","",""
"98","5.963","104.18.8.190","","TCP","","","","","",""
"99","5.963","104.18.8.190","","TCP","","","","","",""
"100","5.963","104.18.8.190","","TCP","","","","","",""
"101","5.963","104.18.8.190","","TLSv1.2","","","","","",""
"102","5.963","104.18.8.190","","TCP","","","","","",""
"103","5.963","104.18.8.190","","TCP","","","","","",""
"104","5.963","104.18.8.190","","TCP","","","","","",""
"105","5.963","104.18.8.190","","TCP","","","","","",""
"106","5.963","104.18.8.190","","TCP","","","","","",""
"107","5.963","104.18.8.190","","TCP","","","","","",""
"108","5.963","104.18.8.190","","TCP","","","","","",""
"109","5.963","104.18.8.190","","TCP","","","","","",""
"110","5.963","104.18.8.190","","TCP","","","","","",""
"111","5.963","104.18.8.190","","TCP","","","","","",""
"112","5.963","104.18.8.190","","TCP","","","","","",""
"113","5.963","104.18.8.190","","TLSv1.2","","","","","",""
"114","5.963","104.18.8.190","","TCP","","","","","",""
"115","5.963","104.18.8.190","","TCP","","","","","",""
"116","5.963","104.18.8.190","","TCP","","","","","",""
"117","5.963","10.4.167.19","","TCP","","","","","",""
"118","5.964","10.4.167.19","","TCP","","","","","",""
"119","5.964","10.4.167.19","","TCP","","","","","",""
"120","5.964","10.4.167.19","","TCP","","","","","",""
"121","5.964","10.4.167.19","","TCP","","","","","",""
"122","5.964","10.4.167.19","","TCP","","","","","",""
"123","5.964","10.4.167.19","","TCP","","","","","",""
"124","5.964","10.4.167.19","","TCP","","","","","",""
"125","5.964","10.4.167.19","","TCP","","","","","",""
"126","5.964","10.4.167.19","","TCP","","","","","",""
"127","5.965","104.18.8.190","","TCP","","","","","",""
"128","5.965","104.18.8.190","","TCP","","","","","",""
"129","5.965","104.18.8.190","","TCP","","","","","",""
"130","5.965","104.18.8.190","","TCP","","","","","",""
"131","5.965","104.18.8.190","","TCP","","","","","",""
"132","5.965","104.18.8.190","","TCP","","","","","",""
"133","5.965","104.18.8.190","","TCP","","","","","",""
"134","5.965","104.18.8.190","","TCP","","","","","",""
"135","5.965","104.18.8.190","","TCP","","","","","",""
"136","5.965","104.18.8.190","","TLSv1.2","","","","","",""
"137","5.965","104.18.8.190","","TCP","","","","","",""
"138","5.965","104.18.8.190","","TCP","","","","","",""
"139","5.965","104.18.8.190","","TCP","","","","","",""
"140","5.965","104.18.8.190","","TLSv1.2","","","","","",""
"141","5.965","104.18.8.190","","TCP","","","","","",""
"142","5.965","104.18.8.190","","TCP","","","","","",""
"143","5.965","104.18.8.190","","TCP","","","","","",""
"144","5.965","104.18.8.190","","TCP","","","","","",""
"145","5.965","104.18.8.190","","TCP","","","","","",""
"146","5.965","104.18.8.190","","TCP","","","","","",""
"147","5.965","104.18.8.190","","TCP","","","","","",""
"148","5.965","104.18.8.190","","TCP","","","","","",""
"149","5.965","104.18.8.190","","TCP","","","","","",""
"150","5.965","104.18.8.190","","TCP","","","","","",""
"151","5.965","104.18.8.190","","TCP","","","","","",""
"152","5.965","104.18.8.190","","TCP","","","","","",""
"153","5.965","104.18.8.190","","TLSv1.2","","","","","",""
"154","5.965","104.18.8.190","","TCP","","","","","",""
"155","5.965","104.18.8.190","","TCP","","","","","",""
"156","5.965","104.18.8.190","","TCP","","","","","",""
"157","5.965","10.4.167.19","","TCP","","","","","",""
"158","5.976","104.18.8.190","","TCP","","","","","",""
"159","5.976","104.18.8.190","","TCP","","","","","",""
"160","5.976","104.18.8.190","","TCP","","","","","",""
"161","5.976","104.18.8.190","","TCP","","","","","",""
"162","5.976","104.18.8.190","","TCP","","","","","",""
"163","5.976","104.18.8.190","","TCP","","","","","",""
"164","5.976","104.18.8.190","","TCP","","","","","",""
"165","5.976","104.18.8.190","","TCP","","","","","",""
"166","5.976","104.18.8.190","","TLSv1.2","","","","","",""
"167","5.976","104.18.8.190","","TCP","","","","","",""
"168","5.976","104.18.8.190","","TCP","","","","","",""
"169","5.976","104.18.8.190","","TCP","","","","","",""
"170","5.976","104.18.8.190","","TCP","","","","","",""
"171","5.976","104.18.8.190","","TCP","","","","","",""
"172","5.976","104.18.8.190","","TCP","","","","","",""
"173","5.976","104.18.8.190","","TCP","","","","","",""
"174","5.976","104.18.8.190","","TCP","","","","","",""
"175","5.976","104.18.8.190","","TCP","","","","","",""
"176","5.976","104.18.8.190","","TCP","","","","","",""
"177","5.976","104.18.8.190","","TCP","","","","","",""
"178","5.976","104.18.8.190","","TCP","","","","","",""
"179","5.976","104.18.8.190","","TLSv1.2","","","","","",""
"180","5.976","104.18.8.190","","TCP","","","","","",""
"181","5.976","104.18.8.190","","TCP","","","","","",""
"182","5.976","104.18.8.190","","TCP","","","","","",""
"183","5.976","104.18.8.190","","TLSv1.2","","","","","",""
"184","5.976","10.4.167.19","","TCP","","","","","",""
"185","6.030","98.126.5.106","","TCP","","","","","",""
"186","6.030","98.126.5.106","","TCP","","","","","",""
"187","6.030","98.126.5.106","","TCP","","","","","",""
"188","6.030","98.126.5.106","","TCP","","","","","",""
"189","6.030","10.4.167.19","","TCP","","","","","",""
"190","6.030","10.4.167.19","","TCP","","","","","",""
"191","6.030","10.4.167.19","","TCP","","","","","",""
"192","6.030","10.4.167.19","","TCP","","","","","",""
"193","6.030","10.4.167.19","","TCP","","","","","",""
"194","6.030","10.4.167.19","","TCP","","","","","",""
"195","6.030","10.4.167.19","","TCP","","","","","",""
"196","6.030","10.4.167.19","","TCP","","","","","",""
"197","6.030","10.4.167.19","","TCP","","","","","",""
"198","6.030","10.4.167.19","","TCP","","","","","",""
"199","6.095","98.126.5.106","","TCP","","","","","",""
"200","6.095","98.126.5.106","","TCP","","","","","",""
"201","6.095","98.126.5.106","","TCP","","","","","",""
"202","6.095","10.4.167.19","","TCP","","","","","",""
"203","6.095","10.4.167.19","","TCP","","","","","",""
"204","6.095","10.4.167.19","","TCP","","","","","",""
"205","6.095","10.4.167.19","","TCP","","","","","",""
"206","6.095","10.4.167.19","","TCP","","","","","",""
"207","6.095","10.4.167.19","","TCP","","","","","",""
"208","6.095","10.4.167.19","","TCP","","","","","",""
"209","6.095","10.4.167.19","","TCP","","","","","",""
"210","6.095","10.4.167.19","","TCP","","","","","",""
"211","6.095","10.4.167.19","","TCP","","","","","",""
"212","6.159","98.126.5.106","","TCP","","","","","",""
"213","6.159","98.126.5.106","","TCP","","","","","",""
"214","6.159","98.126.5.106","","TCP","","","","","",""
"215","6.159","98.126.5.106","","TCP","","","","","",""
"216","6.159","10.4.167.19","","TCP","","","","","",""
"217","6.159","10.4.167.19","","TCP","","","","","",""
"218","6.159","10.4.167.19","","TCP","","","","","",""
"219","6.159","10.4.167.19","","TCP","","","","","",""
"220","6.159","10.4.167.19","","TCP","","","","","",""
"221","6.159","10.4.167.19","","TCP","","","","","",""
"222","6.159","10.4.167.19","","TCP","","","","","",""
"223","6.159","10.4.167.19","","TCP","","","","","",""
"224","6.159","10.4.167.19","","TCP","","","","","",""
"225","6.159","10.4.167.19","","TCP","","","","","",""
"226","6.222","98.126.5.106","","TCP","","","","","",""
"227","6.222","98.126.5.106","","TCP","","","","","",""
"228","6.222","98.126.5.106","","TCP","","","","","",""
"229","6.222","10.4.167.19","","TCP","","","","","",""
"230","6.222","10.4.167.19","","TCP","","","","","",""
"231","6.222","10.4.167.19","","TCP","","","","","",""
"232","6.222","10.4.167.19","","TCP","","","","","",""
"233","6.222","10.4.167.19","","TCP","","","","","",""
"234","6.222","10.4.167.19","","TCP","","","","","",""
"235","6.222","10.4.167.19","","TCP","","","","","",""
"236","6.222","10.4.167.19","","TCP","","","","","",""
"237","6.222","10.4.167.19","","TCP","","","","","",""
"238","6.222","10.4.167.19","","TCP","","","","","",""
"239","6.284","98.126.5.106","","TCP","","","","","",""
"240","6.284","98.126.5.106","","TCP","","","","","",""
"241","6.284","98.126.5.106","","TCP","","","","","",""
"242","6.284","10.4.167.19","","TCP","","","","","",""
"243","6.284","10.4.167.19","","TCP","","","","","",""
"244","6.284","10.4.167.19","","TCP","","","","","",""
"245","6.284","10.4.167.19","","TCP","","","","","",""
"246","6.284","10.4.167.19","","TCP","","","","","",""
"247","6.284","10.4.167.19","","TCP","","","","","",""
"248","6.284","10.4.167.19","","TCP","","","","","",""
"249","6.284","10.4.167.19","","TCP","","","","","",""
"250","6.284","10.4.167.19","","TCP","","","","","",""
"251","6.284","10.4.167.19","","TCP","","","","","",""
"252","6.288","98.126.5.106","","TCP","","","","","",""
"253","6.288","98.126.5.106","","TCP","","","","","",""
"254","6.289","10.4.167.19","","TCP","","","","","",""
"255","6.289","10.4.167.19","","TCP","","","","","",""
"256","6.289","10.4.167.19","","DNS","","","","","",""
"257","6.289","10.4.167.19","","DNS","","","","","",""
"258","6.295","146.229.1.200","","DNS","","","","","",""
"259","6.302","146.229.1.200","","DNS","","","","","",""
"260","6.303","10.4.167.19","","TCP","","","","","",""
"261","6.316","23.6.118.80","","TCP","","","","","",""
"262","6.316","10.4.167.19","","TCP","","","","","",""
"263","6.316","10.4.167.19","","TCP","","","","","",""
"264","6.348","98.126.5.106","","TCP","","","","","",""
"265","6.348","98.126.5.106","","TCP","","","","","",""
"266","6.348","98.126.5.106","","TCP","","","","","",""
"267","6.348","98.126.5.106","","TCP","","","","","",""
"268","6.348","10.4.167.19","","TCP","","","","","",""
"269","6.348","10.4.167.19","","TCP","","","","","",""
"270","6.348","10.4.167.19","","TCP","","","","","",""
"271","6.348","10.4.167.19","","TCP","","","","","",""
"272","6.348","10.4.167.19","","TCP","","","","","",""
"273","6.348","10.4.167.19","","TCP","","","","","",""
"274","6.348","10.4.167.19","","TCP","","","","","",""
"275","6.348","10.4.167.19","","TCP","","","","","",""
"276","6.348","10.4.167.19","","TCP","","","","","",""
"277","6.348","10.4.167.19","","TCP","","","","","",""
"278","6.379","98.126.5.106","","TCP","","","","","",""
"279","6.410","98.126.5.106","","TCP","","","","","",""
"280","6.410","98.126.5.106","","TCP","","","","","",""
"281","6.410","98.126.5.106","","TCP","","","","","",""
"282","6.410","98.126.5.106","","TCP","","","","","",""
"283","6.410","10.4.167.19","","TCP","","","","","",""
"284","6.410","10.4.167.19","","TCP","","","","","",""
"285","6.410","10.4.167.19","","TCP","","","","","",""
"286","6.410","10.4.167.19","","TCP","","","","","",""
"287","6.410","10.4.167.19","","TCP","","","","","",""
"288","6.410","10.4.167.19","","TCP","","","","","",""
"289","6.410","10.4.167.19","","TCP","","","","","",""
"290","6.410","10.4.167.19","","TCP","","","","","",""
"291","6.410","10.4.167.19","","TCP","","","","","",""
"292","6.452","98.126.5.106","","TCP","","","","","",""
"293","6.452","10.4.167.19","","TLSv1.3","","","","","",""
"294","6.465","23.6.118.80","","TCP","","","","","",""
"295","6.465","23.6.118.80","","TLSv1.3","","","","","",""
"296","6.466","10.4.167.19","","TCP","","","","","",""
"297","6.466","10.4.167.19","","TCP","","","","","",""
"298","6.473","98.126.5.106","","TCP","","","","","",""
"299","6.473","98.126.5.106","","TCP","","","","","",""
"300","6.473","98.126.5.106","","TCP","","","","","",""
"301","6.473","98.126.5.106","","TCP","","","","","",""
"302","6.507","10.4.167.19","","UDP","","","","","",""
"303","6.510","10.4.167.19","","TCP","","","","","",""
"304","6.526","98.126.5.106","","TCP","","","","","",""
"305","6.713","98.126.5.106","","TCP","","","","","",""
"306","6.713","98.126.5.106","","TCP","","","","","",""
"307","6.713","98.126.5.106","","TCP","","","","","",""
"308","6.713","98.126.5.106","","TCP","","","","","",""
"309","6.713","98.126.5.106","","TCP","","","","","",""
"310","6.713","98.126.5.106","","TCP","","","","","",""
"311","6.713","98.126.5.106","","TCP","","","","","",""
"312","6.713","10.4.167.19","","TCP","","","","","",""
"313","6.713","10.4.167.19","","TLSv1.3","","","","","",""
"314","6.713","10.4.167.19","","TLSv1.3","","","","","",""
"315","6.713","10.4.167.19","","TCP","","","","","",""
"316","6.713","10.4.167.19","","TCP","","","","","",""
"317","6.713","10.4.167.19","","TCP","","","","","",""
"318","6.713","10.4.167.19","","TCP","","","","","",""
"319","6.713","10.4.167.19","","TLSv1.3","","","","","",""
"320","6.724","23.6.118.80","","TCP","","","","","",""
"321","6.724","23.6.118.80","","TCP","","","","","",""
"322","6.724","23.6.118.80","","TLSv1.3","","","","","",""
"323","6.724","23.6.118.80","","TCP","","","","","",""
"324","6.724","23.6.118.80","","TCP","","","","","",""
"325","6.724","23.6.118.80","","TCP","","","","","",""
"326","6.724","23.6.118.80","","TLSv1.3","","","","","",""
"327","6.724","23.6.118.80","","TCP","","","","","",""
"328","6.724","10.4.167.19","","TCP","","","","","",""
"329","6.725","10.4.167.19","","TCP","","","","","",""
"330","6.725","10.4.167.19","","TCP","","","","","",""
"331","6.777","162.159.134.234","","TLSv1.2","","","","","",""
"332","6.779","10.4.167.19","","TLSv1.2","","","","","",""
"333","6.788","98.126.5.106","","TCP","","","","","",""
"334","6.792","10.4.167.19","","DNS","","","","","",""
"335","6.797","146.229.1.200","","DNS","","","","","",""
"336","6.798","10.4.167.19","","TCP","","","","","",""
"337","6.808","162.159.136.234","","TCP","","","","","",""
"338","6.808","10.4.167.19","","TCP","","","","","",""
"339","6.808","10.4.167.19","","TLSv1.3","","","","","",""
"340","6.811","10.4.167.19","","TCP","","","","","",""
"341","6.818","10.1.90.155","","TCP","","","","","",""
"342","6.821","162.159.136.234","","TCP","","","","","",""
"343","6.821","162.159.134.234","","TLSv1.2","","","","","",""
"344","6.821","162.159.134.234","","TCP","","","","","",""
"345","6.821","10.4.167.19","","TCP","","","","","",""
"346","6.821","10.4.167.19","","TCP","","","","","",""
"347","6.822","162.159.136.234","","TLSv1.3","","","","","",""
"348","6.822","162.159.136.234","","TLSv1.3","","","","","",""
"349","6.822","10.4.167.19","","TCP","","","","","",""
"350","6.823","10.4.167.19","","TLSv1.3","","","","","",""
"351","6.823","10.4.167.19","","TLSv1.3","","","","","",""
"352","6.834","162.159.136.234","","TCP","","","","","",""
"353","6.834","162.159.136.234","","TCP","","","","","",""
"354","6.844","162.159.134.234","","TCP","","","","","",""
"355","6.857","10.4.167.19","","TCP","","","","","",""
"356","6.872","162.159.136.234","","TLSv1.3","","","","","",""
"357","6.872","162.159.136.234","","TLSv1.3","","","","","",""
"358","6.872","10.4.167.19","","TCP","","","","","",""
"359","6.873","10.4.167.19","","TLSv1.3","","","","","",""
"360","6.882","162.159.136.234","","TCP","","","","","",""
"361","6.897","162.159.136.234","","TLSv1.3","","","","","",""
"362","6.898","10.4.167.19","","TLSv1.3","","","","","",""
"363","6.899","10.4.167.19","","TLSv1.3","","","","","",""
"364","6.908","162.159.136.234","","TCP","","","","","",""
"365","6.909","10.4.167.19","","TLSv1.3","","","","","",""
"366","6.950","98.126.5.106","","TCP","","","","","",""
"367","6.950","98.126.5.106","","TCP","","","","","",""
"368","6.950","98.126.5.106","","TCP","","","","","",""
"369","6.950","98.126.5.106","","TCP","","","","","",""
"370","6.950","10.4.167.19","","TCP","","","","","",""
"371","6.950","10.4.167.19","","TCP","","","","","",""
"372","6.950","10.4.167.19","","TLSv1.2","","","","","",""
"373","6.950","10.4.167.19","","TCP","","","","","",""
"374","6.950","10.4.167.19","","TCP","","","","","",""
"375","6.950","10.4.167.19","","TLSv1.2","","","","","",""
"376","6.961","162.159.136.234","","TCP","","","","","",""
"377","6.974","98.126.5.106","","TCP","","","","","",""
"378","6.975","10.4.167.19","","TLSv1.3","","","","","",""
"379","6.986","23.6.118.80","","TCP","","","","","",""
"380","7.015","10.4.167.19","","TCP","","","","","",""
"381","7.031","52.24.152.215","","TCP","","","","","",""
"382","7.031","52.24.152.215","","TCP","","","","","",""
"383","7.031","52.24.152.215","","TLSv1.2","","","","","",""
"384","7.031","10.4.167.19","","TCP","","","","","",""
"385","7.079","10.4.167.19","","TCP","","","","","",""
"386","7.122","98.126.5.106","","TCP","","","","","",""
"387","7.286","10.4.167.19","","TCP","","","","","",""
"388","7.293","10.1.122.227","","TCP","","","","","",""
"389","7.302","98.126.5.106","","TCP","","","","","",""
"390","7.302","98.126.5.106","","TCP","","","","","",""
"391","7.302","10.4.167.19","","TCP","","","","","",""
"392","7.302","10.4.167.19","","MDNS","","","","","",""
"393","7.302","98.126.5.106","","TCP","","","","","",""
"394","7.302","98.126.5.106","","TCP","","","","","",""
"395","7.302","98.126.5.106","","TCP","","","","","",""
"396","7.302","98.126.5.106","","TCP","","","","","",""
"397","7.302","10.4.167.19","","TCP","","","","","",""
"398","7.302","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"399","7.303","10.4.167.19","","MDNS","","","","","",""
"400","7.303","fe80::932:5995:84a:9ab","","MDNS","","","","","",""
"401","7.303","98.126.5.106","","TCP","","","","","",""
"402","7.303","98.126.5.106","","TCP","","","","","",""
"403","7.303","98.126.5.106","","TCP","","","","","",""
"404","7.303","98.126.5.106","","TCP","","","","","",""
"405","7.303","98.126.5.106","","TCP","","","","","",""
"406","7.303","98.126.5.106","","TCP","","","","","",""
"407","7.303","10.4.167.19","","TCP","","","","","",""
"408","7.303","10.4.167.19","","TCP","","","","","",""
"409","7.303","10.4.167.19","","TCP","","","","","",""
"410","7.303","10.4.167.19","","TCP","","","","","",""
"411","7.303","10.4.167.19","","TLSv1.2","","","","","",""
"412","7.303","10.4.167.19","","TCP","","","","","",""
"413","7.303","10.4.167.19","","TCP","","","","","",""
"414","7.303","10.4.167.19","","TCP","","","","","",""
"415","7.303","10.4.167.19","","TLSv1.2","","","","","",""
"416","7.306","98.126.5.106","","TCP","","","","","",""
"417","7.306","98.126.5.106","","TCP","","","","","",""
"418","7.306","98.126.5.106","","TCP","","","","","",""
"419","7.306","98.126.5.106","","TCP","","","","","",""
"420","7.306","10.4.167.19","","TCP","","","","","",""
"421","7.306","10.4.167.19","","TCP","","","","","",""
"422","7.306","10.4.167.19","","TCP","","","","","",""
"423","7.307","10.4.167.19","","TCP","","","","","",""
"424","7.307","10.4.167.19","","TLSv1.2","","","","","",""
"425","7.315","98.126.5.106","","TCP","","","","","",""
"426","7.315","98.126.5.106","","TCP","","","","","",""
"427","7.315","98.126.5.106","","TCP","","","","","",""
"428","7.315","98.126.5.106","","TCP","","","","","",""
"429","7.315","98.126.5.106","","TCP","","","","","",""
"430","7.315","98.126.5.106","","TCP","","","","","",""
"431","7.315","98.126.5.106","","TCP","","","","","",""
"432","7.315","98.126.5.106","","TCP","","","","","",""
"433","7.315","98.126.5.106","","TCP","","","","","",""
"434","7.315","98.126.5.106","","TCP","","","","","",""
"435","7.315","98.126.5.106","","TCP","","","","","",""
"436","7.315","10.4.167.19","","TCP","","","","","",""
"437","7.315","10.4.167.19","","TCP","","","","","",""
"438","7.315","10.4.167.19","","TCP","","","","","",""
"439","7.315","10.4.167.19","","TCP","","","","","",""
"440","7.315","10.4.167.19","","TCP","","","","","",""
"441","7.315","10.4.167.19","","TLSv1.2","","","","","",""
"442","7.318","98.126.5.106","","TCP","","","","","",""
"443","7.318","98.126.5.106","","TCP","","","","","",""
"444","7.318","98.126.5.106","","TCP","","","","","",""
"445","7.318","98.126.5.106","","TCP","","","","","",""
"446","7.318","10.4.167.19","","TCP","","","","","",""
"447","7.318","10.4.167.19","","TCP","","","","","",""
"448","7.318","10.4.167.19","","TCP","","","","","",""
"449","7.318","10.4.167.19","","TLSv1.2","","","","","",""
"450","7.333","10.4.167.19","","TCP","","","","","",""
"451","7.385","35.155.218.27","","TCP","","","","","",""
"452","7.385","35.155.218.27","","TCP","","","","","",""
"453","7.385","35.155.218.27","","TCP","","","","","",""
"454","7.390","35.155.218.27","","TCP","","","","","",""
"455","7.390","35.155.218.27","","TCP","","","","","",""
"456","7.390","35.155.218.27","","TLSv1.2","","","","","",""
"457","7.390","10.4.167.19","","TCP","","","","","",""
"458","7.396","35.155.218.27","","TCP","","","","","",""
"459","7.399","35.155.218.27","","TCP","","","","","",""
"460","7.403","23.6.118.80","","TCP","","","","","",""
"461","7.403","23.6.118.80","","TLSv1.3","","","","","",""
"462","7.403","23.6.118.80","","TCP","","","","","",""
"463","7.403","23.6.118.80","","TLSv1.3","","","","","",""
"464","7.403","23.6.118.80","","TCP","","","","","",""
"465","7.403","23.6.118.80","","TLSv1.3","","","","","",""
"466","7.403","23.6.118.80","","TCP","","","","","",""
"467","7.403","23.6.118.80","","TLSv1.3","","","","","",""
"468","7.403","23.6.118.80","","TCP","","","","","",""
"469","7.403","23.6.118.80","","TLSv1.3","","","","","",""
"470","7.403","23.6.118.80","","TLSv1.3","","","","","",""
"471","7.403","35.155.218.27","","TLSv1.2","","","","","",""
"472","7.403","10.4.167.19","","TCP","","","","","",""
"473","7.404","10.4.167.19","","TCP","","","","","",""
"474","7.404","10.4.167.19","","TCP","","","","","",""
"475","7.404","10.4.167.19","","TCP","","","","","",""
"476","7.404","10.4.167.19","","TCP","","","","","",""
"477","7.404","10.4.167.19","","TCP","","","","","",""
"478","7.404","10.4.167.19","","TCP","","","","","",""
"479","7.404","10.4.167.19","","TCP","","","","","",""
"480","7.404","10.4.167.19","","TCP","","","","","",""
"481","7.404","10.4.167.19","","TCP","","","","","",""
"482","7.404","10.4.167.19","","TCP","","","","","",""
"483","7.404","10.4.167.19","","TCP","","","","","",""
"484","7.404","10.4.167.19","","TCP","","","","","",""
"485","7.444","10.4.167.19","","TCP","","","","","",""
"486","7.444","10.4.167.19","","TCP","","","","","",""